label,user_mentions,exc_count,quest_count,ellipsis_count,interjection_count,uppercase_count,rep_letter,tweet_score,positive_word,negative_word,polarity,noun_count,verb_count,intensifier_count,bi,tri,uni,emoji_score,emoji_tweet_flip,hashtag_score
0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0.5574,2,0,0,2,0,0,1,1,0.6238,0,1,0
0,0,0,0,0,0,0,2,0.5267,2,0,0,2,0,0,1,1,0.5684,0,1,0
0,1,1,0,0,0,0,1,0.4404,1,0,0,1,0,0,0.8808,0.8808,0.4404,0,1,0
0,1,0,0,0,0,0,1,0.6369,1,0,0,1,0,0,1,1,0.6369,0,1,0
0,0,0,0,0,0,0,1,-0.4215,0,1,0,0,1,0,-0.843,-1,-0.4215,0,1,0
0,0,0,0,0,0,2,0,0.6908,2,0,0,2,0,0,1,1,0.8619,0,1,0
0,0,0,0,0,0,0,1,-0.4404,0,0,0,0,0,0,0,0,0,-0.4404,1,0
0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0.0772,2,1,0,2,1,0,-0.3194,-0.9791,0.1052,0,1,0
0,0,0,0,0,0,1,0,-0.7906,0,2,0,0,2,0,-1,-1,-1,0,1,0
0,1,0,0,0,0,0,1,0.5719,1,0,0,1,0,0,1,1,0.5719,0,1,0
0,0,0,0,0,0,0,0,0.5859,1,0,0,1,0,0,1,1,0.5859,0,1,0
0,0,0,0,0,0,2,3,-0.128,1,2,0,1,2,0,-0.6612,-1,-0.1937,0,1,0
0,1,0,0,0,0,0,0,0.4767,1,0,0,1,0,0,0.9534,1,0.4767,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,2,2,0.4404,1,0,0,1,0,0,0.8808,1,0.4404,0,1,0
0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0.4215,1,0,0,1,0,0,0.843,1,0.4215,0,1,0
0,1,0,0,0,0,2,0,0.4238,5,0,0,5,0,0,1,1,1,0,1,0
0,0,1,0,0,0,0,1,0.3612,1,0,0,1,0,0,0.7224,1,0.3612,0,1,0
0,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,2,0.7574,1,0,0,1,0,0,0.9878,1,0.4939,0,1,0
0,0,0,0,0,0,0,0,0.6249,1,0,0,1,0,0,1,1,0.6249,0,1,0
